External ID,Number,Amount,Date,Journal,Partner,Reference,Journal Items/Account/Name,Journal Items/Label,Journal Items/Credit,Journal Items/Debit,Journal Items/Date Accounting,Journal Items/Date,Journal Items/Partner/Name
__export__.account_move_2049_51ad7023,MISC/2020/0499,4212,2020-11-30,__export__.account_journal_3_bd951307,,252 bổ sung lần 1,Bank,bổ sung lần 1,4212,,,2020-11-30,
,,,,,,,Lợi nhuận chưa phân phối năm nay,bổ sung lần 1,,4212,,2020-11-30,
__export__.account_move_2048_3f0fbfe5,MISC/2020/0498,19000001,2020-11-29,__export__.account_journal_3_bd951307,__export__.res_partner_73_4844ca63,251 bổ sung lần 1,Bank,bổ sung lần 1,19000001,,,2020-11-29,Customer 3
,,,,,,,Phải trả người bán,bổ sung lần 1,,19000001,,2020-11-29,Customer 3
__export__.account_move_2047_8c986552,MISC/2020/0497,19000001,2020-11-28,__export__.account_journal_3_bd951307,__export__.res_partner_73_4844ca63,250 bổ sung lần 1,Phải trả người bán,bổ sung lần 1,19000001,,,2020-11-28,Customer 3
,,,,,,,Chi phí khác,bổ sung lần 1,,19000001,,2020-11-28,Customer 3
__export__.account_move_2046_c94089b0,MISC/2020/0496,3446,2020-11-27,__export__.account_journal_3_bd951307,,249 Mua TSCĐ,Bank,bổ sung lần 1,3446,,,2020-11-27,
,,,,,,,Thuế GTGT được khấu trừ của TSCĐ,bổ sung lần 1,,1332,,2020-11-27,
,,,,,,,"Thiết bị, dụng cụ quản lý",Mua TSCĐ,,2114,,2020-11-27,
__export__.account_move_2045_2b271a1c,MISC/2020/0495,11000001,2020-11-26,__export__.account_journal_3_bd951307,,248 bổ sung lần 1,Thuế thu nhập doanh nghiệp,bổ sung lần 1,,11000001,,2020-11-26,
,,,,,,,Tiền Việt Nam,bổ sung lần 1,11000001,,,2020-11-26,
__export__.account_move_2044_023cdc7d,MISC/2020/0494,3000001,2020-11-25,__export__.account_journal_3_bd951307,,247 bổ sung lần 1,Bank,bổ sung lần 1,3000001,,,2020-11-25,
,,,,,,,Thuế thu nhập doanh nghiệp,bổ sung lần 1,,3000001,,2020-11-25,
__export__.account_move_2043_bea805fb,MISC/2020/0493,3000001,2020-11-24,__export__.account_journal_3_bd951307,,246 bổ sung lần 1,Bank,bổ sung lần 1,3000001,,,2020-11-24,
,,,,,,,Chi phí trả trước dài hạn,bổ sung lần 1,,3000001,,2020-11-24,
__export__.account_move_2042_500cc4e2,MISC/2020/0492,1,2020-11-23,__export__.account_journal_3_bd951307,,245 bổ sung lần 1,Bank,bổ sung lần 1,1,,,2020-11-23,
,,,,,,,Trích trước chi phi lãi vay,bổ sung lần 1,,1,,2020-11-23,
__export__.account_move_498_8086f8d9,MISC/2020/0227,95000000,2020-11-23,__export__.account_journal_3_bd951307,__export__.res_partner_83_e2bc25c6,bổ sung lần 1,Phải trả nội bộ khác,,95000000,,,2020-11-23,Subsidiary 1
,,,,,,,Bank,,,95000000,,2020-11-23,
__export__.account_move_2041_34b1117f,MISC/2020/0491,220,2020-11-22,__export__.account_journal_3_bd951307,,244 bổ sung lần 1,Bank,bổ sung lần 1,220,,,2020-11-22,
,,,,,,,Đầu tư vào công ty con,bổ sung lần 1,,220,,2020-11-22,
__export__.account_move_497_71427bbf,MISC/2020/0228,90000000,2020-11-22,__export__.account_journal_3_bd951307,__export__.res_partner_83_e2bc25c6,bổ sung lần 1,Phải trả nội bộ khác,,90000000,,,2020-11-22,Subsidiary 1
,,,,,,,Bank,,,90000000,,2020-11-22,
__export__.account_move_2040_c29dfeb7,MISC/2020/0490,221,2020-11-21,__export__.account_journal_3_bd951307,,243 bổ sung lần 1,Đầu tư vào công ty con,bổ sung lần 1,221,,,2020-11-21,
,,,,,,,Bank,bổ sung lần 1,,221,,2020-11-21,
__export__.account_move_496_8d5cd32d,MISC/2020/0229,80000000,2020-11-21,__export__.account_journal_3_bd951307,,bổ sung lần 1,Bank,,80000000,,,2020-11-21,
,,,,,,,Chiết khấu trái phiếu,,,80000000,,2020-11-21,
__export__.account_move_2039_24afed63,MISC/2020/0489,10000001,2020-11-20,__export__.account_journal_3_bd951307,__export__.res_partner_112_e5a7ecdb,242 bổ sung lần 1,Bank,bổ sung lần 1,10000001,,,2020-11-20,
,,,,,,,Phải trả người bán,bổ sung lần 1,,10000001,,2020-11-20,Vendor 2
__export__.account_move_495_98342eaa,MISC/2020/0230,65000000,2020-11-20,__export__.account_journal_3_bd951307,__export__.res_partner_61_5ac5b748,bổ sung lần 1,Phải thu khác,,65000000,,,2020-11-20,Borrower 1
,,,,,,,Bank,,,65000000,,2020-11-20,
__export__.account_move_2038_da6ae085,MISC/2020/0488,16500001,2020-11-19,__export__.account_journal_3_bd951307,__export__.res_partner_112_e5a7ecdb,241 bổ sung lần 1,Phải trả người bán,bổ sung lần 1,16500001,,,2020-11-19,Vendor 2
,,,,,,,"Thuế GTGT được khấu trừ của hàng hóa, dịch vụ",bổ sung lần 1,,1500000,,2020-11-19,
,,,,,,,Chi phí khác,bổ sung lần 1,,15000001,,2020-11-19,
__export__.account_move_494_8294d61e,MISC/2020/0231,70000000,2020-11-19,__export__.account_journal_3_bd951307,__export__.res_partner_71_2e6be028,bổ sung lần 1,Phải thu của khách hàng,,70000000,,,2020-11-19,Customer 10
,,,,,,,Bank,,,70000000,,2020-11-19,
__export__.account_move_2037_ad1b9c1b,MISC/2020/0487,5500001,2020-11-18,__export__.account_journal_3_bd951307,,240 bổ sung lần 1,Tiền Việt Nam,bổ sung lần 1,5500001,,,2020-11-18,
,,,,,,,"Thuế GTGT được khấu trừ của hàng hóa, dịch vụ",bổ sung lần 1,,500000,,2020-11-18,
,,,,,,,Chi phí khác,bổ sung lần 1,,5000001,,2020-11-18,
__export__.account_move_493_cbd9051b,MISC/2020/0232,45000000,2020-11-18,__export__.account_journal_3_bd951307,__export__.res_partner_73_4844ca63,bổ sung lần 1,Bank,,45000000,,,2020-11-18,
,,,,,,,"Phải trả, phải nộp khác",,,45000000,,2020-11-18,Customer 3
__export__.account_move_2036_0d6ec42e,MISC/2020/0486,95000001,2020-11-17,__export__.account_journal_3_bd951307,__export__.res_partner_83_e2bc25c6,239 bổ sung lần 1,Phải trả nội bộ khác,bổ sung lần 1,95000001,,,2020-11-17,Subsidiary 1
,,,,,,,Bank,bổ sung lần 1,,95000001,,2020-11-17,
__export__.account_move_492_813b7567,MISC/2020/0233,26000000,2020-11-17,__export__.account_journal_3_bd951307,,bổ sung lần 1,Bank,,26000000,,,2020-11-17,
,,,,,,,Thuế thu nhập cá nhân,,,26000000,,2020-11-17,
__export__.account_move_2035_93f86847,MISC/2020/0485,90000001,2020-11-16,__export__.account_journal_3_bd951307,__export__.res_partner_83_e2bc25c6,238 bổ sung lần 1,Phải trả nội bộ khác,bổ sung lần 1,90000001,,,2020-11-16,Subsidiary 1
,,,,,,,Bank,bổ sung lần 1,,90000001,,2020-11-16,
__export__.account_move_491_25ad184c,MISC/2020/0234,50000000,2020-11-16,__export__.account_journal_3_bd951307,__export__.res_partner_112_e5a7ecdb,bổ sung lần 1,Bank,,50000000,,,2020-11-16,
,,,,,,,"Cầm cố, thế chấp, ký quỹ, ký cược",,,50000000,,2020-11-16,Vendor 2
__export__.account_move_2034_c246f848,MISC/2020/0484,1300001,2020-11-15,__export__.account_journal_3_bd951307,,237 bổ sung lần 1,Chiết khấu trái phiếu,bổ sung lần 1,1300001,,,2020-11-15,
,,,,,,,Chi phí lãi vay,bổ sung lần 1,,1300001,,2020-11-15,
__export__.account_move_490_8b6bdd2b,MISC/2020/0235,800000000,2020-11-15,__export__.account_journal_3_bd951307,,bổ sung lần 1,Bank,,800000000,,,2020-11-15,
,,,,,,,Cho vay,,,800000000,,2020-11-15,
__export__.account_move_2033_b5bd3d25,MISC/2020/0483,1388,2020-11-14,__export__.account_journal_3_bd951307,__export__.res_partner_61_5ac5b748,236 bổ sung lần 1,Phải thu khác,bổ sung lần 1,1388,,,2020-11-14,Borrower 1
,,,,,,,Bank,bổ sung lần 1,,1388,,2020-11-14,
__export__.account_move_489_e9b59ef1,MISC/2020/0236,60000000,2020-11-14,__export__.account_journal_3_bd951307,__export__.res_partner_116_b09891c1,bổ sung lần 1,Bank,,60000000,,,2020-11-14,
,,,,,,,Phải trả người bán,,,60000000,,2020-11-14,Vendor 6
__export__.account_move_2032_990fadc9,MISC/2020/0482,70000001,2020-11-13,__export__.account_journal_3_bd951307,__export__.res_partner_71_2e6be028,235 x,Phải thu của khách hàng,x,70000001,,,2020-11-13,Customer 10
,,,,,,,Bank,x,,70000001,,2020-11-13,
__export__.account_move_488_22f57993,MISC/2020/0237,20000000,2020-11-13,__export__.account_journal_3_bd951307,,bổ sung lần 1,Bank,,20000000,,,2020-11-13,
,,,,,,,Các khoản đầu tư khác nắm giữ đến ngày đáo hạn,,,20000000,,2020-11-13,
__export__.account_move_2031_90bbf998,MISC/2020/0481,45000001,2020-11-12,__export__.account_journal_3_bd951307,__export__.res_partner_73_4844ca63,234 bổ sung lần 1,Bank,bổ sung lần 1,45000001,,,2020-11-12,
,,,,,,,"Phải trả, phải nộp khác",bổ sung lần 1,,45000001,,2020-11-12,Customer 3
__export__.account_move_487_8cf3ce6e,MISC/2020/0238,30000000,2020-11-12,__export__.account_journal_3_bd951307,,bổ sung lần 1,Bank,,30000000,,,2020-11-12,
,,,,,,,Trái phiếu có kỳ hạn,,,30000000,,2020-11-12,
__export__.account_move_2030_5330d53c,MISC/2020/0480,26000001,2020-11-11,__export__.account_journal_3_bd951307,,233 bổ sung lần 1,Bank,bổ sung lần 1,26000001,,,2020-11-11,
,,,,,,,Thuế thu nhập cá nhân,bổ sung lần 1,,26000001,,2020-11-11,
__export__.account_move_486_1bb89294,MISC/2020/0239,40000000,2020-11-11,__export__.account_journal_3_bd951307,,bổ sung lần 1,Bank,,40000000,,,2020-11-11,
,,,,,,,Tiền gửi có kỳ hạn,,,40000000,,2020-11-11,
__export__.account_move_2029_24f8ed5d,MISC/2020/0479,50000001,2020-11-10,__export__.account_journal_3_bd951307,__export__.res_partner_112_e5a7ecdb,232 bổ sung lần 1,Bank,bổ sung lần 1,50000001,,,2020-11-10,
,,,,,,,"Cầm cố, thế chấp, ký quỹ, ký cược",bổ sung lần 1,,50000001,,2020-11-10,Vendor 2
__export__.account_move_485_0b2cc915,MISC/2020/0240,50000000,2020-11-10,__export__.account_journal_3_bd951307,,bổ sung lần 1,Cổ phiếu ưu đãi phân loại nợ phải trả,,50000000,,,2020-11-10,
,,,,,,,Bank,,,50000000,,2020-11-10,
__export__.account_move_484_c3d6be23,MISC/2020/0241,400000000,2020-11-09,__export__.account_journal_3_bd951307,,bổ sung lần 1,Cổ phiếu ưu đãi phân loại vốn CSH,,400000000,,,2020-11-09,
,,,,,,,Bank,,,400000000,,2020-11-09,
__export__.account_move_2028_082900a7,MISC/2020/0478,860000002,2020-11-08,__export__.account_journal_3_bd951307,__export__.res_partner_116_b09891c1,230 bổ sung lần 1,Bank,bổ sung lần 1,800000001,,,2020-11-08,
,,,,,,,Cho vay,bổ sung lần 1,,800000001,,2020-11-08,
,,,,,,,Bank,bổ sung lần 1,60000001,,,2020-11-08,
,,,,,,,Phải trả người bán,bổ sung lần 1,,60000001,,2020-11-08,Vendor 6
__export__.account_move_483_3393e9c7,MISC/2020/0242,30000000,2020-11-08,__export__.account_journal_3_bd951307,,bổ sung lần 1,Bank,,30000000,,,2020-11-08,
,,,,,,,Đầu tư dài hạn khác,,,30000000,,2020-11-08,
__export__.account_move_2027_6682f964,MISC/2020/0477,20000001,2020-11-07,__export__.account_journal_3_bd951307,,229 bổ sung lần 1,Bank,bổ sung lần 1,20000001,,,2020-11-07,
,,,,,,,Các khoản đầu tư khác nắm giữ đến ngày đáo hạn,bổ sung lần 1,,20000001,,2020-11-07,
__export__.account_move_482_72451973,MISC/2020/0243,2000000,2020-11-07,__export__.account_journal_3_bd951307,,bổ sung lần 1,"Dự phòng giảm giá của thiết bị, vật tư, phụ tùng thay thế dài hạn",,2000000,,,2020-11-07,
,,,,,,,Giá vốn hàng bán,,,2000000,,2020-11-07,
__export__.account_move_2026_87f42dd8,MISC/2020/0476,30000001,2020-11-06,__export__.account_journal_3_bd951307,,228 bổ sung lần 1,Bank,bổ sung lần 1,30000001,,,2020-11-06,
,,,,,,,Trái phiếu có kỳ hạn,bổ sung lần 1,,30000001,,2020-11-06,
__export__.account_move_481_3334806d,MISC/2020/0244,6000000,2020-11-06,__export__.account_journal_3_bd951307,,bổ sung lần 1,Dự phòng giảm giá hàng tồn kho,,6000000,,,2020-11-06,
,,,,,,,Giá vốn hàng bán,,,6000000,,2020-11-06,
__export__.account_move_2025_0a9b34be,MISC/2020/0475,40000001,2020-11-05,__export__.account_journal_3_bd951307,,227 bổ sung lần 1,Bank,bổ sung lần 1,40000001,,,2020-11-05,
,,,,,,,Tiền gửi có kỳ hạn,bổ sung lần 1,,40000001,,2020-11-05,
__export__.account_move_480_81a6d424,MISC/2020/0245,1000000,2020-11-05,__export__.account_journal_3_bd951307,,bổ sung lần 1,"Dự phòng giảm giá của chi phí sản xuất, kinh doanh dở dang dài hạn",,1000000,,,2020-11-05,
,,,,,,,Giá vốn hàng bán,,,1000000,,2020-11-05,
__export__.account_move_2024_0ab24000,MISC/2020/0474,50000001,2020-11-04,__export__.account_journal_3_bd951307,,226 bổ sung lần 1,Cổ phiếu ưu đãi phân loại nợ phải trả,bổ sung lần 1,50000001,,,2020-11-04,
,,,,,,,Bank,bổ sung lần 1,,50000001,,2020-11-04,
__export__.account_move_479_279cdb47,MISC/2020/0246,50000000,2020-11-04,__export__.account_journal_3_bd951307,,bổ sung lần 1,Tiền Việt Nam,,50000000,,,2020-11-04,
,,,,,,,"Chi phí sản xuất, kinh doanh dở dang dài hạn",,,50000000,,2020-11-04,
__export__.account_move_2023_294e0254,MISC/2020/0473,400000001,2020-11-03,__export__.account_journal_3_bd951307,,225 bổ sung lần 1,Cổ phiếu ưu đãi phân loại vốn CSH,bổ sung lần 1,400000001,,,2020-11-03,
,,,,,,,Bank,bổ sung lần 1,,400000001,,2020-11-03,
__export__.account_move_478_3ddbb13e,MISC/2020/0247,200000000,2020-11-03,__export__.account_journal_3_bd951307,,bổ sung lần 1,Bank,,200000000,,,2020-11-03,
,,,,,,,"Công cụ, dụng cụ",,,200000000,,2020-11-03,
__export__.account_move_2022_db0d8740,MISC/2020/0472,2000001,2020-11-02,__export__.account_journal_3_bd951307,,224 bổ sung lần 1,"Dự phòng giảm giá của thiết bị, vật tư, phụ tùng thay thế dài hạn",bổ sung lần 1,2000001,,,2020-11-02,
,,,,,,,Giá vốn hàng bán,bổ sung lần 1,,2000001,,2020-11-02,
__export__.account_move_477_6d8f5312,MISC/2020/0248,300000000,2020-11-02,__export__.account_journal_3_bd951307,,bổ sung lần 1,Bank,,300000000,,,2020-11-02,
,,,,,,,"Thiết bị, phụ tùng thay thế dài hạn",,,300000000,,2020-11-02,
__export__.account_move_2021_8f6d877f,MISC/2020/0471,6000001,2020-11-01,__export__.account_journal_3_bd951307,,223 bổ sung lần 1,Dự phòng giảm giá hàng tồn kho,bổ sung lần 1,6000001,,,2020-11-01,
,,,,,,,Giá vốn hàng bán,bổ sung lần 1,,6000001,,2020-11-01,
__export__.account_move_730_ad2cf557,MISC/2020/0250,300000000,2020-11-01,__export__.account_journal_3_bd951307,__export__.res_partner_61_5ac5b748,Bổ sung lần 1,Chênh lệch đánh giá lại tài sản,,300000000,,,2020-11-01,
,,,,,,,"Máy móc, thiết bị",,,300000000,,2020-11-01,Borrower 1
__export__.account_move_2481_5e944c62,CLOSE/2020/0145,61000000,2020-10-31,vn_accounting.record_account_journal_closing_balance,,Closing balance for revenue (511),Xác định kết quả kinh doanh,Closing balance for revenue (511),,30000000,,2020-10-31,
,,,,,,,Doanh thu cung cấp dịch vụ,Closing balance for revenue (511),30000000,,,2020-10-31,
,,,,,,,Xác định kết quả kinh doanh,Closing balance for revenue (511),,20000000,,2020-10-31,
,,,,,,,Doanh thu bán các thành phẩm,Closing balance for revenue (511),20000000,,,2020-10-31,
,,,,,,,Xác định kết quả kinh doanh,Closing balance for revenue (511),,11000000,,2020-10-31,
,,,,,,,Doanh thu bán hàng hóa,Closing balance for revenue (511),11000000,,,2020-10-31,
__export__.account_move_2480_06cce265,CLOSE/2020/0144,61000000,2020-10-31,vn_accounting.record_account_journal_closing_balance,,Closing balance for revenue deduction,Hàng bán bị trả lại,Closing balance for revenue deduction,,20000000,,2020-10-31,
,,,,,,,Xác định kết quả kinh doanh,Closing balance for revenue deduction,20000000,,,2020-10-31,
,,,,,,,Giảm giá hàng bán,Closing balance for revenue deduction,,30000000,,2020-10-31,
,,,,,,,Xác định kết quả kinh doanh,Closing balance for revenue deduction,30000000,,,2020-10-31,
,,,,,,,Chiết khấu thương mại,Closing balance for revenue deduction,,11000000,,2020-10-31,
,,,,,,,Xác định kết quả kinh doanh,Closing balance for revenue deduction,11000000,,,2020-10-31,
__export__.account_move_2477_ee4d95b5,CLOSE/2020/0143,11000000,2020-10-31,vn_accounting.record_account_journal_closing_balance,,206,Doanh thu bán hàng hóa,,,11000000,,2020-10-31,
,,,,,,,Chiết khấu thương mại,,11000000,,,2020-10-31,
__export__.account_move_2471_bc8ba44e,CLOSE/2020/0137,30000002,2020-10-31,vn_accounting.record_account_journal_closing_balance,,Closing balance for revenue and other incomes (811),Chi phí khác,Closing balance for revenue and other incomes (811),30000002,,,2020-10-31,
,,,,,,,Xác định kết quả kinh doanh,Closing balance for revenue and other incomes (811),,30000002,,2020-10-31,
__export__.account_move_2470_850d2da9,CLOSE/2020/0136,7000001,2020-10-31,vn_accounting.record_account_journal_closing_balance,,Closing balance for  expense (642x),Chi phí bằng tiền khác,Closing balance for  expense (642x),7000001,,,2020-10-31,
,,,,,,,Xác định kết quả kinh doanh,Closing balance for  expense (642x),,7000001,,2020-10-31,
__export__.account_move_2469_67c4de4c,CLOSE/2020/0135,30000004,2020-10-31,vn_accounting.record_account_journal_closing_balance,,Closing balance for  expense (635x),Chi phí tài chính khác,Closing balance for  expense (635x),30000004,,,2020-10-31,
,,,,,,,Xác định kết quả kinh doanh,Closing balance for  expense (635x),,30000004,,2020-10-31,
__export__.account_move_2468_712c5c15,CLOSE/2020/0134,21000002,2020-10-31,vn_accounting.record_account_journal_closing_balance,,Closing balance for  expense (632x),Giá vốn hàng bán,Closing balance for  expense (632x),21000002,,,2020-10-31,
,,,,,,,Xác định kết quả kinh doanh,Closing balance for  expense (632x),,21000002,,2020-10-31,
__export__.account_move_2020_dc1a07dd,MISC/2020/0470,1000001,2020-10-31,__export__.account_journal_3_bd951307,,222 bổ sung lần 1,"Dự phòng giảm giá của chi phí sản xuất, kinh doanh dở dang dài hạn",bổ sung lần 1,1000001,,,2020-10-31,
,,,,,,,Giá vốn hàng bán,bổ sung lần 1,,1000001,,2020-10-31,
__export__.account_move_508_f6842156,MISC/2020/0249,60000000,2020-10-31,__export__.account_journal_3_bd951307,,closing Oct,Chi phí khác,,60000000,,,2020-10-31,
,,,,,,,Xác định kết quả kinh doanh,,,60000000,,2020-10-31,
__export__.account_move_442_2536af11,MISC/2020/0001,300000000,2020-10-31,__export__.account_journal_3_bd951307,__export__.res_partner_61_5ac5b748,,Bank,,300000000,,,2020-10-31,Borrower 1
,,,,,,,Cho vay,,,300000000,,2020-10-31,Borrower 1
__export__.account_move_2299_3721b663,CLOSE/2020/0014,7000001,2020-10-30,vn_accounting.record_account_journal_closing_balance,,Manual,Xác định kết quả kinh doanh,,,7000001,,2020-10-30,
,,,,,,,Chi phí bằng tiền khác,,7000001,,,2020-10-30,
__export__.account_move_2298_8c31b875,CLOSE/2020/0015,61000000,2020-10-30,vn_accounting.record_account_journal_closing_balance,,Manual,Xác định kết quả kinh doanh,,,61000000,,2020-10-30,
,,,,,,,Doanh thu bán các thành phẩm,,20000000,,,2020-10-30,
,,,,,,,Doanh thu cung cấp dịch vụ,,30000000,,,2020-10-30,
,,,,,,,Doanh thu bán hàng hóa,,11000000,,,2020-10-30,
__export__.account_move_2297_cca32c3e,CLOSE/2020/0016,30000002,2020-10-30,vn_accounting.record_account_journal_closing_balance,,Manual,Xác định kết quả kinh doanh,,,30000002,,2020-10-30,
,,,,,,,Chi phí khác,,30000002,,,2020-10-30,
__export__.account_move_2296_e5d348ac,CLOSE/2020/0017,21000002,2020-10-30,vn_accounting.record_account_journal_closing_balance,,Manual,Xác định kết quả kinh doanh,,,21000002,,2020-10-30,
,,,,,,,Giá vốn hàng bán,,21000002,,,2020-10-30,
__export__.account_move_2019_4cc585c1,MISC/2020/0469,50000001,2020-10-30,__export__.account_journal_3_bd951307,,221 bổ sung lần 1,Tiền Việt Nam,bổ sung lần 1,50000001,,,2020-10-30,
,,,,,,,"Chi phí sản xuất, kinh doanh dở dang dài hạn",bổ sung lần 1,,50000001,,2020-10-30,
__export__.account_move_441_3df4beb2,MISC/2020/0002,170000000,2020-10-30,__export__.account_journal_3_bd951307,__export__.res_partner_103_10c4155a,,Bank,,170000000,,,2020-10-30,
,,,,,,,Bảo hiểm xã hội,,,170000000,,2020-10-30,BHXH
__export__.account_move_2018_47c4fa82,MISC/2020/0468,200000001,2020-10-29,__export__.account_journal_3_bd951307,,220 bổ sung lần 1,Bank,bổ sung lần 1,200000001,,,2020-10-29,
,,,,,,,"Công cụ, dụng cụ",bổ sung lần 1,,200000001,,2020-10-29,
__export__.account_move_440_054dad9d,MISC/2020/0003,40000000,2020-10-29,__export__.account_journal_3_bd951307,__export__.res_partner_74_9ac055a8,,Bank,,40000000,,,2020-10-29,Customer 4
,,,,,,,"Phải trả, phải nộp khác",,,40000000,,2020-10-29,Customer 4
__export__.account_move_2017_2c8aed09,MISC/2020/0467,300000001,2020-10-28,__export__.account_journal_3_bd951307,,219 bổ sung lần 1,Bank,bổ sung lần 1,300000001,,,2020-10-28,
,,,,,,,"Thiết bị, phụ tùng thay thế dài hạn",bổ sung lần 1,,300000001,,2020-10-28,
__export__.account_move_452_354dfce6,MISC/2020/0004,8000000,2020-10-28,__export__.account_journal_3_bd951307,,,Dự phòng giảm giá chứng khoán kinh doanh,,8000000,,,2020-10-28,
,,,,,,,Chi phí tài chính,,,8000000,,2020-10-28,
__export__.account_move_2016_b4bf250d,MISC/2020/0466,412,2020-10-27,__export__.account_journal_3_bd951307,__export__.res_partner_61_5ac5b748,218 chọn hoạt động TSCĐ liên quan 331,Chênh lệch đánh giá lại tài sản,,412,,,2020-10-27,Borrower 1
,,,,,,,"Máy móc, thiết bị",chọn hoạt động TSCĐ liên quan 331,,412,,2020-10-27,Borrower 1
